timestamp,block_height,bits,transaction_count,block_size
2022-05-14 18:25:54.000000 UTC,1667660,1c01541b,6,8492
2022-05-14 18:24:12.000000 UTC,1667659,1c015008,1,1721
2022-05-14 18:24:08.000000 UTC,1667658,1c014d9d,4,6705
2022-05-14 18:23:20.000000 UTC,1667657,1c014cdc,7,12587
2022-05-14 18:22:35.000000 UTC,1667656,1c014d8c,3,4310
2022-05-14 18:22:24.000000 UTC,1667655,1c0153a1,3,2154
2022-05-14 18:21:05.000000 UTC,1667654,1c014eaa,6,11428
2022-05-14 18:18:58.000000 UTC,1667653,1c014c3a,2,4087
2022-05-14 18:18:10.000000 UTC,1667652,1c014286,5,6485
2022-05-14 18:17:27.000000 UTC,1667651,1c014369,6,4975
2022-05-14 18:16:20.000000 UTC,1667650,1c013f85,3,2183
2022-05-14 18:15:52.000000 UTC,1667649,1c013f8c,11,15881
2022-05-14 18:13:17.000000 UTC,1667648,1c013512,1,1714
2022-05-14 18:13:06.000000 UTC,1667647,1c013220,7,11873
2022-05-14 18:10:13.000000 UTC,1667646,1c01358b,1,1714
2022-05-14 18:10:09.000000 UTC,1667645,1c013456,8,10701
2022-05-14 18:08:47.000000 UTC,1667644,1c013124,2,3502
2022-05-14 18:08:30.000000 UTC,1667643,1c012eee,17,23116
2022-05-14 18:05:17.000000 UTC,1667642,1c012aba,10,13652
2022-05-14 18:02:46.000000 UTC,1667641,1c012e96,10,15795
2022-05-14 18:01:03.000000 UTC,1667640,1c012c97,10,37859
2022-05-14 17:59:47.000000 UTC,1667639,1c012908,5,10055
2022-05-14 17:58:21.000000 UTC,1667638,1c0120e4,7,7551
2022-05-14 17:54:58.000000 UTC,1667637,1c011bb8,7,15278
2022-05-14 17:53:16.000000 UTC,1667636,1c011ea7,2,4855
2022-05-14 17:52:38.000000 UTC,1667635,1c011e05,6,12998
2022-05-14 17:51:36.000000 UTC,1667634,1c01209f,7,7439
2022-05-14 17:49:41.000000 UTC,1667633,1c012ad8,8,22333
2022-05-14 17:46:38.000000 UTC,1667632,1c012d58,6,9251
2022-05-14 17:44:32.000000 UTC,1667631,1c013604,4,7856
2022-05-14 17:44:12.000000 UTC,1667630,1c01379f,5,5676
2022-05-14 17:43:25.000000 UTC,1667629,1c0137cc,8,13403
2022-05-14 17:42:27.000000 UTC,1667628,1c0137ab,2,4066
2022-05-14 17:41:50.000000 UTC,1667627,1c01424a,3,4311
2022-05-14 17:41:14.000000 UTC,1667626,1c014156,1,1697
2022-05-14 17:41:01.000000 UTC,1667625,1c013fef,6,4976
2022-05-14 17:39:24.000000 UTC,1667624,1c013bc1,10,10346
2022-05-14 17:36:47.000000 UTC,1667623,1c013b60,4,5520
2022-05-14 17:35:53.000000 UTC,1667622,1c013a07,2,3858
2022-05-14 17:35:40.000000 UTC,1667621,1c013ac8,11,15170
2022-05-14 17:33:13.000000 UTC,1667620,1c013d18,3,4571
2022-05-14 17:33:08.000000 UTC,1667619,1c013e5f,9,11003
2022-05-14 17:31:35.000000 UTC,1667618,1c013f7b,1,1693
2022-05-14 17:31:21.000000 UTC,1667617,1c0150e9,6,8284
2022-05-14 17:30:44.000000 UTC,1667616,1c014723,2,1938
2022-05-14 17:30:22.000000 UTC,1667615,1c0143e1,2,4087
2022-05-14 17:30:10.000000 UTC,1667614,1c013da2,4,4541
2022-05-14 17:29:31.000000 UTC,1667613,1c013dc3,1,1714
2022-05-14 17:29:24.000000 UTC,1667612,1c01367e,8,7672
2022-05-14 17:28:24.000000 UTC,1667611,1c013579,9,10813
2022-05-14 17:25:29.000000 UTC,1667610,1c012b18,4,7170
2022-05-14 17:24:32.000000 UTC,1667609,1c0124e7,9,8381
2022-05-14 17:22:09.000000 UTC,1667608,1c012884,9,20334
2022-05-14 17:20:12.000000 UTC,1667607,1c01339c,14,17091
2022-05-14 17:17:31.000000 UTC,1667606,1c0134f9,4,2526
2022-05-14 17:16:35.000000 UTC,1667605,1c014064,11,17152
2022-05-14 17:13:07.000000 UTC,1667604,1c01436b,8,10000
2022-05-14 17:10:30.000000 UTC,1667603,1c0142d5,3,20813
2022-05-14 17:10:23.000000 UTC,1667602,1c01433d,1,2671
2022-05-14 17:09:50.000000 UTC,1667601,1c0145a7,2,14919
2022-05-14 17:09:36.000000 UTC,1667600,1c01333c,2,4087
2022-05-14 17:09:26.000000 UTC,1667599,1c013443,3,6476
2022-05-14 17:09:01.000000 UTC,1667598,1c0136c0,3,4311
2022-05-14 17:08:16.000000 UTC,1667597,1c01375f,3,4305
2022-05-14 17:07:22.000000 UTC,1667596,1c0137c6,2,12395
2022-05-14 17:07:05.000000 UTC,1667595,1c013fb5,16,20749
2022-05-14 17:00:50.000000 UTC,1667594,1c014151,6,8264
2022-05-14 17:00:18.000000 UTC,1667593,1c0143ca,1,1714
2022-05-14 17:00:00.000000 UTC,1667592,1c014cdb,2,1938
2022-05-14 16:59:11.000000 UTC,1667591,1c014f54,11,9969
2022-05-14 16:57:09.000000 UTC,1667590,1c014718,2,4066
2022-05-14 16:56:39.000000 UTC,1667589,1c0155f4,2,4066
2022-05-14 16:56:08.000000 UTC,1667588,1c014e76,1,1693
2022-05-14 16:55:55.000000 UTC,1667587,1c015036,1,1714
2022-05-14 16:55:33.000000 UTC,1667586,1c01571e,4,3391
2022-05-14 16:55:03.000000 UTC,1667585,1c015743,15,16503
2022-05-14 16:51:50.000000 UTC,1667584,1c01590b,1,1693
2022-05-14 16:51:44.000000 UTC,1667583,1c01627f,9,10570
2022-05-14 16:48:45.000000 UTC,1667582,1c01683f,4,6971
2022-05-14 16:47:42.000000 UTC,1667581,1c0172e0,2,1959
2022-05-14 16:47:27.000000 UTC,1667580,1c0178b7,5,10595
2022-05-14 16:46:44.000000 UTC,1667579,1c017640,5,10034
2022-05-14 16:46:09.000000 UTC,1667578,1c016e94,2,4066
2022-05-14 16:45:20.000000 UTC,1667577,1c016e1a,1,1721
2022-05-14 16:45:15.000000 UTC,1667576,1c017689,1,2671
2022-05-14 16:45:12.000000 UTC,1667575,1c0173fd,2,4087
2022-05-14 16:45:07.000000 UTC,1667574,1c017708,6,8497
2022-05-14 16:43:46.000000 UTC,1667573,1c017e48,13,15741
2022-05-14 16:41:57.000000 UTC,1667572,1c017cdf,1,1714
2022-05-14 16:41:40.000000 UTC,1667571,1c018120,2,2915
2022-05-14 16:41:31.000000 UTC,1667570,1c0180c5,7,8713
2022-05-14 16:39:29.000000 UTC,1667569,1c017bd0,3,5512
2022-05-14 16:38:52.000000 UTC,1667568,1c017a0a,3,4491
2022-05-14 16:38:21.000000 UTC,1667567,1c01746f,8,9819
2022-05-14 16:35:14.000000 UTC,1667566,1c01690a,4,7699
2022-05-14 16:34:41.000000 UTC,1667565,1c016625,4,9513
2022-05-14 16:33:47.000000 UTC,1667564,1c016004,8,10902
2022-05-14 16:32:27.000000 UTC,1667563,1c015645,4,2391
2022-05-14 16:32:05.000000 UTC,1667562,1c0151d7,2,2957
2022-05-14 16:31:28.000000 UTC,1667561,1c015841,9,28700
2022-05-14 16:28:33.000000 UTC,1667560,1c01574b,5,9820
2022-05-14 16:27:09.000000 UTC,1667559,1c01571b,12,16047
2022-05-14 16:24:25.000000 UTC,1667558,1c0157f2,8,17522
2022-05-14 16:22:32.000000 UTC,1667557,1c0159be,6,8580
2022-05-14 16:21:15.000000 UTC,1667556,1c014f7c,3,2203
2022-05-14 16:20:54.000000 UTC,1667555,1c0142ec,2,4234
2022-05-14 16:20:25.000000 UTC,1667554,1c013932,8,42052
2022-05-14 16:17:50.000000 UTC,1667553,1c0133f6,5,5032
2022-05-14 16:15:59.000000 UTC,1667552,1c013009,9,14681
2022-05-14 16:14:14.000000 UTC,1667551,1c012e70,6,9335
2022-05-14 16:11:22.000000 UTC,1667550,1c012f46,12,25708
2022-05-14 16:07:40.000000 UTC,1667549,1c012dc9,8,11890
2022-05-14 16:05:01.000000 UTC,1667548,1c012956,6,7158
2022-05-14 16:02:58.000000 UTC,1667547,1c012473,5,5121
2022-05-14 16:01:38.000000 UTC,1667546,1c0127e6,7,13567
2022-05-14 16:00:27.000000 UTC,1667545,1c012b27,2,1938
2022-05-14 16:00:09.000000 UTC,1667544,1c01250c,6,13193
2022-05-14 15:59:08.000000 UTC,1667543,1c012641,3,7417
2022-05-14 15:57:27.000000 UTC,1667542,1c01275e,4,7662
2022-05-14 15:55:21.000000 UTC,1667541,1c011f36,1,1724
2022-05-14 15:55:17.000000 UTC,1667540,1c011b8c,1,1699
2022-05-14 15:54:32.000000 UTC,1667539,1c011c23,7,8936
2022-05-14 15:51:34.000000 UTC,1667538,1c011c15,6,9891
2022-05-14 15:50:30.000000 UTC,1667537,1c011c04,13,11306
2022-05-14 15:47:05.000000 UTC,1667536,1c011edc,4,8833
2022-05-14 15:44:00.000000 UTC,1667535,1c0120bc,12,15679
2022-05-14 15:40:35.000000 UTC,1667534,1c011f89,3,6021
2022-05-14 15:39:36.000000 UTC,1667533,1c012685,3,6460
2022-05-14 15:38:48.000000 UTC,1667532,1c01281c,2,2915
2022-05-14 15:38:23.000000 UTC,1667531,1c012b34,5,4967
2022-05-14 15:37:29.000000 UTC,1667530,1c012a98,1,1714
2022-05-14 15:37:03.000000 UTC,1667529,1c012c19,4,8833
2022-05-14 15:36:01.000000 UTC,1667528,1c01283c,3,4311
2022-05-14 15:35:20.000000 UTC,1667527,1c012621,3,6469
2022-05-14 15:34:38.000000 UTC,1667526,1c012758,1,1693
2022-05-14 15:34:19.000000 UTC,1667525,1c011b62,2,4066
2022-05-14 15:33:43.000000 UTC,1667524,1c011c3f,4,5532
2022-05-14 15:32:44.000000 UTC,1667523,1c011b3c,6,8930
2022-05-14 15:31:01.000000 UTC,1667522,1c011e7b,6,9658
2022-05-14 15:29:48.000000 UTC,1667521,1c011f0e,9,12996
2022-05-14 15:28:27.000000 UTC,1667520,1c0122de,10,19286
2022-05-14 15:24:27.000000 UTC,1667519,1c012484,2,1977
2022-05-14 15:23:47.000000 UTC,1667518,1c01256f,11,14524
2022-05-14 15:21:25.000000 UTC,1667517,1c012e81,8,14313
2022-05-14 15:20:19.000000 UTC,1667516,1c012bfc,1,1693
2022-05-14 15:19:34.000000 UTC,1667515,1c012f83,2,1959
2022-05-14 15:19:18.000000 UTC,1667514,1c01386e,8,8930
2022-05-14 15:17:40.000000 UTC,1667513,1c013b8b,4,6971
2022-05-14 15:16:45.000000 UTC,1667512,1c0139a4,2,3002
2022-05-14 15:16:20.000000 UTC,1667511,1c013d83,6,13061
2022-05-14 15:13:40.000000 UTC,1667510,1c013e42,4,5407
2022-05-14 15:12:37.000000 UTC,1667509,1c013c45,7,13936
2022-05-14 15:11:39.000000 UTC,1667508,1c013e4c,2,4087
2022-05-14 15:11:32.000000 UTC,1667507,1c014179,4,4722
2022-05-14 15:10:19.000000 UTC,1667506,1c013d4c,3,23105
2022-05-14 15:10:07.000000 UTC,1667505,1c013b0c,1,1693
2022-05-14 15:09:55.000000 UTC,1667504,1c013fd4,4,6859
2022-05-14 15:08:35.000000 UTC,1667503,1c01406b,4,5681
2022-05-14 15:08:28.000000 UTC,1667502,1c014b85,1,1693
2022-05-14 15:08:08.000000 UTC,1667501,1c016cd5,7,11115
2022-05-14 15:06:37.000000 UTC,1667500,1c016194,10,14385
2022-05-14 15:05:00.000000 UTC,1667499,1c015ee8,1,2671
2022-05-14 15:04:38.000000 UTC,1667498,1c015d72,9,9686
2022-05-14 15:03:45.000000 UTC,1667497,1c0152fa,3,3599
2022-05-14 15:02:13.000000 UTC,1667496,1c015bfe,2,12039
2022-05-14 15:02:06.000000 UTC,1667495,1c0158b3,7,4770
2022-05-14 15:00:02.000000 UTC,1667494,1c015416,7,11200
2022-05-14 14:58:48.000000 UTC,1667493,1c0154f7,3,3159
2022-05-14 14:57:27.000000 UTC,1667492,1c015fa4,6,5468
2022-05-14 14:54:32.000000 UTC,1667491,1c015e2c,2,1958
2022-05-14 14:54:08.000000 UTC,1667490,1c015df1,1,1724
2022-05-14 14:53:49.000000 UTC,1667489,1c015c77,6,7417
2022-05-14 14:52:58.000000 UTC,1667488,1c015c0a,1,1693
2022-05-14 14:52:54.000000 UTC,1667487,1c01572d,3,2315
2022-05-14 14:52:34.000000 UTC,1667486,1c01553f,2,4087
2022-05-14 14:52:23.000000 UTC,1667485,1c0145c2,2,4920
2022-05-14 14:51:39.000000 UTC,1667484,1c0125b6,1,1714
2022-05-14 14:51:37.000000 UTC,1667483,1c01291a,1,1714
2022-05-14 14:51:00.000000 UTC,1667482,1c013354,5,7666
2022-05-14 14:49:44.000000 UTC,1667481,1c013492,3,5134
2022-05-14 14:49:01.000000 UTC,1667480,1c01349c,17,19929
2022-05-14 14:44:41.000000 UTC,1667479,1c012c2f,16,33259
2022-05-14 14:35:15.000000 UTC,1667478,1c01343b,2,4087
2022-05-14 14:35:04.000000 UTC,1667477,1c0136ec,6,8755
2022-05-14 14:33:53.000000 UTC,1667476,1c0135de,7,9314
2022-05-14 14:32:15.000000 UTC,1667475,1c01385d,3,5079
2022-05-14 14:31:30.000000 UTC,1667474,1c013bb7,7,8146
2022-05-14 14:28:03.000000 UTC,1667473,1c0137a4,1,1720
2022-05-14 14:28:01.000000 UTC,1667472,1c01367a,1,1714
2022-05-14 14:27:52.000000 UTC,1667471,1c01339a,3,4434
2022-05-14 14:27:04.000000 UTC,1667470,1c0135e1,7,3889
2022-05-14 14:23:16.000000 UTC,1667469,1c013b4a,1,1693
2022-05-14 14:22:54.000000 UTC,1667468,1c013a72,3,2328
2022-05-14 14:21:36.000000 UTC,1667467,1c013d77,1,1714
2022-05-14 14:21:18.000000 UTC,1667466,1c013a33,7,5358
2022-05-14 14:20:03.000000 UTC,1667465,1c012ef6,1,1693
2022-05-14 14:19:31.000000 UTC,1667464,1c0130d5,2,2238
2022-05-14 14:18:54.000000 UTC,1667463,1c013543,2,2232
2022-05-14 14:18:35.000000 UTC,1667462,1c01321e,2,1965
2022-05-14 14:18:26.000000 UTC,1667461,1c012c01,3,4211
2022-05-14 14:17:34.000000 UTC,1667460,1c012ad5,10,10531
2022-05-14 14:13:30.000000 UTC,1667459,1c012c3a,8,17558
2022-05-14 14:11:31.000000 UTC,1667458,1c012548,5,5408
2022-05-14 14:10:44.000000 UTC,1667457,1c012754,4,17002
2022-05-14 14:09:40.000000 UTC,1667456,1c012bd2,6,7475
2022-05-14 14:07:19.000000 UTC,1667455,1c012f0c,6,3087
2022-05-14 14:06:12.000000 UTC,1667454,1c0133a5,2,1965
2022-05-14 14:05:30.000000 UTC,1667453,1c0133e2,12,11728
2022-05-14 14:00:43.000000 UTC,1667452,1c012ddb,3,3263
2022-05-14 13:59:04.000000 UTC,1667451,1c01308a,2,4066
2022-05-14 13:58:44.000000 UTC,1667450,1c013462,2,3558
2022-05-14 13:58:37.000000 UTC,1667449,1c013763,2,10306
2022-05-14 13:58:12.000000 UTC,1667448,1c013a1d,2,2085
2022-05-14 13:57:00.000000 UTC,1667447,1c013856,2,4087
2022-05-14 13:54:37.000000 UTC,1667446,1c01337a,1,2671
2022-05-14 13:54:21.000000 UTC,1667445,1c013977,6,6305
2022-05-14 13:53:14.000000 UTC,1667444,1c013e4b,1,1714
2022-05-14 13:53:12.000000 UTC,1667443,1c01512c,4,5411
2022-05-14 13:52:31.000000 UTC,1667442,1c0155bf,7,7065
2022-05-14 13:50:07.000000 UTC,1667441,1c01580e,7,8577
2022-05-14 13:48:05.000000 UTC,1667440,1c0170af,1,1721
2022-05-14 13:48:00.000000 UTC,1667439,1c017025,1,1714
2022-05-14 13:47:43.000000 UTC,1667438,1c016e8f,2,4121
2022-05-14 13:47:30.000000 UTC,1667437,1c016b6a,1,1714
2022-05-14 13:47:04.000000 UTC,1667436,1c01676e,5,8132
2022-05-14 13:44:57.000000 UTC,1667435,1c016819,3,6460
2022-05-14 13:43:50.000000 UTC,1667434,1c01723d,4,5905
2022-05-14 13:43:19.000000 UTC,1667433,1c01780e,2,4087
2022-05-14 13:43:15.000000 UTC,1667432,1c017560,5,11452
2022-05-14 13:42:26.000000 UTC,1667431,1c0172e4,1,1693
2022-05-14 13:41:53.000000 UTC,1667430,1c016a9d,1,2671
2022-05-14 13:41:51.000000 UTC,1667429,1c0166f8,2,1958
2022-05-14 13:41:47.000000 UTC,1667428,1c0161dc,7,12655
2022-05-14 13:40:38.000000 UTC,1667427,1c015fbb,1,1714
2022-05-14 13:40:37.000000 UTC,1667426,1c015530,4,6689
2022-05-14 13:40:03.000000 UTC,1667425,1c015191,5,6711
2022-05-14 13:38:42.000000 UTC,1667424,1c0158e3,1,1714
2022-05-14 13:38:27.000000 UTC,1667423,1c013e00,7,7732
2022-05-14 13:37:25.000000 UTC,1667422,1c013e00,5,14445
2022-05-14 13:36:27.000000 UTC,1667421,1c013dfd,9,15197
2022-05-14 13:31:50.000000 UTC,1667420,1c014596,5,8840
2022-05-14 13:30:14.000000 UTC,1667419,1c014574,6,9511
2022-05-14 13:27:35.000000 UTC,1667418,1c01468f,17,18688
2022-05-14 13:19:53.000000 UTC,1667417,1c013cb0,7,12820
2022-05-14 13:18:45.000000 UTC,1667416,1c0134ef,3,4276
